new_index,question_as_query,topic,question_type,Query_type
34,are walkers good for babies?,babycare,Binary Question,Sampled_Original
35,can 2 blue eyed parents have brown eyed baby?,babycare,Binary Question,Sampled_Original
36,can 2 brown eyed people have blue eyed baby?,babycare,Binary Question,Sampled_Original
37,can a baby be allergic to breast milk?,babycare,Binary Question,Sampled_Original
38,can a baby survive at 20 weeks?,babycare,Binary Question,Sampled_Original
39,can a baby survive at 23 weeks?,babycare,Binary Question,Sampled_Original
40,can a baby survive at 24 weeks?,babycare,Binary Question,Sampled_Original
41,can a baby survive at 27 weeks?,babycare,Binary Question,Sampled_Original
42,can a baby survive at 30 weeks?,babycare,Binary Question,Sampled_Original
43,can a man have a baby?,babycare,Binary Question,Sampled_Original
44,can a man carry a baby?,babycare,Binary Question,Sampled_Original
45,can babies get mono?,babycare,Binary Question,Sampled_Original
46,can babies get shingles?,babycare,Binary Question,Sampled_Original
47,can babies get sinus infections?,babycare,Binary Question,Sampled_Original
48,can babies get strep throat?,babycare,Binary Question,Sampled_Original
49,can babies have yogurt?,babycare,Binary Question,Sampled_Original
50,can babies hear in the womb?,babycare,Binary Question,Sampled_Original
51,can babies see?,babycare,Binary Question,Sampled_Original
52,can babies see at birth?,babycare,Binary Question,Sampled_Original
53,can babies see color?,babycare,Binary Question,Sampled_Original
54,can blue eyed parents have brown eyed baby?,babycare,Binary Question,Sampled_Original
55,can i use aquaphor on baby face?,babycare,Binary Question,Sampled_Original
56,can men have babies?,babycare,Binary Question,Sampled_Original
57,can precum make a baby?,babycare,Binary Question,Sampled_Original
58,can two blue eyed people have brown eyed baby?,babycare,Binary Question,Sampled_Original
59,can you feel baby move at 13 weeks?,babycare,Binary Question,Sampled_Original
60,can you hear baby heartbeat with stethoscope?,babycare,Binary Question,Sampled_Original
61,do all babies crawl?,babycare,Binary Question,Sampled_Original
62,do babies feel pain during abortion?,babycare,Binary Question,Sampled_Original
63,do babies get a fever when teething?,babycare,Binary Question,Sampled_Original
64,do babies have kneecaps?,babycare,Binary Question,Sampled_Original
65,do babies have knees?,babycare,Binary Question,Sampled_Original
66,do babies need a passport?,babycare,Binary Question,Sampled_Original
67,do babies need dental insurance?,babycare,Binary Question,Sampled_Original
68,do babies need water?,babycare,Binary Question,Sampled_Original
69,do babies open their eyes in the womb?,babycare,Binary Question,Sampled_Original
70,do babies pee in the womb?,babycare,Binary Question,Sampled_Original
71,do babies poop in the womb?,babycare,Binary Question,Sampled_Original
72,do baby teeth have roots?,babycare,Binary Question,Sampled_Original
73,do baby wipes expire?,babycare,Binary Question,Sampled_Original
74,do breech babies have abnormalities?,babycare,Binary Question,Sampled_Original
75,do midwives deliver babies?,babycare,Binary Question,Sampled_Original
76,do second babies come earlier?,babycare,Binary Question,Sampled_Original
77,do you have to sterilize baby bottles?,babycare,Binary Question,Sampled_Original
78,does gestational diabetes affect the baby?,babycare,Binary Question,Sampled_Original
79,does having a baby hurt?,babycare,Binary Question,Sampled_Original
80,is a fetus a baby?,babycare,Binary Question,Sampled_Original
81,is an embryo a baby?,babycare,Binary Question,Sampled_Original
82,is baby oil good for dry skin?,babycare,Binary Question,Sampled_Original
83,is baby oil good for skin?,babycare,Binary Question,Sampled_Original
84,is baby oil mineral oil?,babycare,Binary Question,Sampled_Original
85,is baby oil safe?,babycare,Binary Question,Sampled_Original
86,is baby powder safe?,babycare,Binary Question,Sampled_Original
87,is baby powder safe to use?,babycare,Binary Question,Sampled_Original
88,is cornstarch baby powder safe?,babycare,Binary Question,Sampled_Original
89,is every baby born with blue eyes?,babycare,Binary Question,Sampled_Original
90,is johnson and johnson baby powder safe?,babycare,Binary Question,Sampled_Original
91,is johnson's baby powder safe?,babycare,Binary Question,Sampled_Original
92,is my baby teething?,babycare,Binary Question,Sampled_Original
93,should you wake a sleeping baby?,babycare,Binary Question,Sampled_Original
94,do babies go to heaven?,babycare,Binary Question,Sampled_Original
95,do babies go to hell?,babycare,Binary Question,Sampled_Original
96,are all babies born white?,babycare,Binary Question,Sampled_Original
97,can babies see spirits?,babycare,Binary Question,Sampled_Original
98,do babies fly free?,babycare,Binary Question,Sampled_Original
99,is there asbestos in baby powder?,babycare,Binary Question,Sampled_Original
100,does baby powder cause cancer?,babycare,Binary Question,Sampled_Original
101,can you get pregnant at 48?,pregnancy,Binary Question,Sampled_Original
102,can you get pregnant after tubes tied?,pregnancy,Binary Question,Sampled_Original
103,can pregnant women eat steak?,pregnancy,Binary Question,Sampled_Original
104,can pre cum get you pregnant?,pregnancy,Binary Question,Sampled_Original
105,is cream cheese safe during pregnancy?,pregnancy,Binary Question,Sampled_Original
106,can you take paracetamol when pregnant?,pregnancy,Binary Question,Sampled_Original
107,is pregnancy brain real?,pregnancy,Binary Question,Sampled_Original
108,is decaf coffee safe during pregnancy?,pregnancy,Binary Question,Sampled_Original
109,is spotting normal during pregnancy?,pregnancy,Binary Question,Sampled_Original
110,can i eat feta when pregnant?,pregnancy,Binary Question,Sampled_Original
111,is back pain a sign of pregnancy?,pregnancy,Binary Question,Sampled_Original
112,can you eat pepperoni when pregnant?,pregnancy,Binary Question,Sampled_Original
113,can you take aleve when pregnant?,pregnancy,Binary Question,Sampled_Original
114,is zofran safe during pregnancy?,pregnancy,Binary Question,Sampled_Original
115,can you eat bacon when pregnant?,pregnancy,Binary Question,Sampled_Original
116,can you be pregnant and not know?,pregnancy,Binary Question,Sampled_Original
117,can you get pregnant after a vasectomy?,pregnancy,Binary Question,Sampled_Original
118,can pregnant women eat hot dogs?,pregnancy,Binary Question,Sampled_Original
119,can pre com get you pregnant nhs?,pregnancy,Binary Question,Sampled_Original
120,can you take doxycycline while pregnant?,pregnancy,Binary Question,Sampled_Original
121,can i use a heating pad while pregnant?,pregnancy,Binary Question,Sampled_Original
122,is shingles contagious to pregnant women?,pregnancy,Binary Question,Sampled_Original
123,do dollar store pregnancy tests work?,pregnancy,Binary Question,Sampled_Original
124,are cramps normal during early pregnancy?,pregnancy,Binary Question,Sampled_Original
125,will an ectopic pregnancy show positive?,pregnancy,Binary Question,Sampled_Original
126,is melatonin safe during pregnancy?,pregnancy,Binary Question,Sampled_Original
127,can you smoke weed while pregnant?,pregnancy,Binary Question,Sampled_Original
128,is it ok to take prenatal when not pregnant?,pregnancy,Binary Question,Sampled_Original
129,is it safe for pregnant women to fly?,pregnancy,Binary Question,Sampled_Original
130,will a pregnancy test show ectopic pregnancy?,pregnancy,Binary Question,Sampled_Original
131,can i get pregnant from precum?,pregnancy,Binary Question,Sampled_Original
132,can you drink decaf coffee when pregnant?,pregnancy,Binary Question,Sampled_Original
133,can you eat salmon while pregnant?,pregnancy,Binary Question,Sampled_Original
134,can you take magnesium while pregnant?,pregnancy,Binary Question,Sampled_Original
135,is miralax safe during pregnancy?,pregnancy,Binary Question,Sampled_Original
136,is magnesium safe in pregnancy?,pregnancy,Binary Question,Sampled_Original
137,can pregnant women eat tuna?,pregnancy,Binary Question,Sampled_Original
138,can a pregnant woman drink wine?,pregnancy,Binary Question,Sampled_Original
139,can you take miralax while pregnant?,pregnancy,Binary Question,Sampled_Original
140,can you eat mozzarella when pregnant?,pregnancy,Binary Question,Sampled_Original
141,can you take cold medicine when pregnant?,pregnancy,Binary Question,Sampled_Original
142,can pregnant women eat cold cuts?,pregnancy,Binary Question,Sampled_Original
143,can you take motrin while pregnant?,pregnancy,Binary Question,Sampled_Original
144,is it possible to get pregnant after period?,pregnancy,Binary Question,Sampled_Original
145,can a guy get pregnant?,pregnancy,Binary Question,Sampled_Original
146,can pregnant women eat catfish?,pregnancy,Binary Question,Sampled_Original
147,can you eat cooked sushi while pregnant?,pregnancy,Binary Question,Sampled_Original
148,can you get pregnant on depo shot?,pregnancy,Binary Question,Sampled_Original
149,can you sleep on your back when pregnant?,pregnancy,Binary Question,Sampled_Original
150,should you take prenatal if not pregnant?,pregnancy,Binary Question,Sampled_Original
151,can you drink herbal tea when pregnant?,pregnancy,Binary Question,Sampled_Original
152,can pregnant women eat pineapple?,pregnancy,Binary Question,Sampled_Original
153,can pregnant women eat mussels?,pregnancy,Binary Question,Sampled_Original
154,can a negative pregnancy test be wrong?,pregnancy,Binary Question,Sampled_Original
155,is shingles dangerous for pregnant women?,pregnancy,Binary Question,Sampled_Original
156,can you get pregnant after your period ends?,pregnancy,Binary Question,Sampled_Original
157,can you take elderberry while pregnant?,pregnancy,Binary Question,Sampled_Original
158,is green tea safe while pregnant?,pregnancy,Binary Question,Sampled_Original
159,can pregnant women eat prawns?,pregnancy,Binary Question,Sampled_Original
160,can you get pregnant a week before period?,pregnancy,Binary Question,Sampled_Original
161,can pregnant women drink soda?,pregnancy,Binary Question,Sampled_Original
162,can pregnant women eat ice cream?,pregnancy,Binary Question,Sampled_Original
163,can you take antidepressants while pregnant?,pregnancy,Binary Question,Sampled_Original
164,can you get pregnant from fingering?,pregnancy,Binary Question,Sampled_Original
165,can a 50 year old get pregnant?,pregnancy,Binary Question,Sampled_Original
166,can a pregnant woman take alka seltzer?,pregnancy,Binary Question,Sampled_Original
167,can you eat clams when pregnant?,pregnancy,Binary Question,Sampled_Original
168,is pregnancy a qualifying event for insurance?,pregnancy,Binary Question,Sampled_Original
169,can pregnant women take aleve?,pregnancy,Binary Question,Sampled_Original
170,can pregnant women eat crawfish?,pregnancy,Binary Question,Sampled_Original
171,is green tea good for pregnant women?,pregnancy,Binary Question,Sampled_Original
172,can i dye my hair while pregnant?,pregnancy,Binary Question,Sampled_Original
173,can you get pregnant 3 days before period?,pregnancy,Binary Question,Sampled_Original
174,are probiotics safe during pregnancy?,pregnancy,Binary Question,Sampled_Original
175,can pregnant women eat beef jerky?,pregnancy,Binary Question,Sampled_Original
176,can i take tums while pregnant?,pregnancy,Binary Question,Sampled_Original
177,do you get cramps when pregnant?,pregnancy,Binary Question,Sampled_Original
178,can you get pregnant after a tubal?,pregnancy,Binary Question,Sampled_Original
179,can you get a massage when pregnant?,pregnancy,Binary Question,Sampled_Original
180,can pregnant women take tums?,pregnancy,Binary Question,Sampled_Original
181,is aspirin safe in pregnancy?,pregnancy,Binary Question,Sampled_Original
182,can pregnant women eat lunch meat?,pregnancy,Binary Question,Sampled_Original
183,can you take probiotics while pregnant?,pregnancy,Binary Question,Sampled_Original
184,is peppermint tea safe during pregnancy?,pregnancy,Binary Question,Sampled_Original
185,does birth control prevent pregnancy?,pregnancy,Binary Question,Sampled_Original
186,can i eat lobster while pregnant?,pregnancy,Binary Question,Sampled_Original
187,can pregnant women paint?,pregnancy,Binary Question,Sampled_Original
188,is heartburn a sign of pregnancy?,pregnancy,Binary Question,Sampled_Original
189,can you bleed and still be pregnant?,pregnancy,Binary Question,Sampled_Original
190,can you get pregnant after ovulation?,pregnancy,Binary Question,Sampled_Original
191,can you take benadryl when pregnant?,pregnancy,Binary Question,Sampled_Original
192,can pregnant women take tamiflu?,pregnancy,Binary Question,Sampled_Original
193,is it safe to travel while pregnant?,pregnancy,Binary Question,Sampled_Original
194,can pregnant women donate blood?,pregnancy,Binary Question,Sampled_Original
195,can you go to the dentist while pregnant?,pregnancy,Binary Question,Sampled_Original
196,can a paternity test be done while pregnant?,pregnancy,Binary Question,Sampled_Original
197,can pregnant women eat calamari?,pregnancy,Binary Question,Sampled_Original
198,are hiccups a sign of pregnancy?,pregnancy,Binary Question,Sampled_Original
199,does birth control stop pregnancy?,pregnancy,Binary Question,Sampled_Original
200,do pregnancy tests expire?,pregnancy,Binary Question,Sampled_Original
201,how big is a baby at 4 weeks?,babycare,How + adj/adv Question,Sampled_Original
202,how big is a baby at 10 weeks?,babycare,How + adj/adv Question,Sampled_Original
203,how early can a baby survive?,babycare,How + adj/adv Question,Sampled_Original
204,how often do babies eat?,babycare,How + adj/adv Question,Sampled_Original
205,how long after epidural is baby born?,babycare,How + adj/adv Question,Sampled_Original
206,how long should baby sleep in parents room?,babycare,How + adj/adv Question,Sampled_Original
207,how long are babies in size 1 diapers?,babycare,How + adj/adv Question,Sampled_Original
208,how many babies are born with down syndrome?,babycare,How + adj/adv Question,Sampled_Original
209,how old is my baby calculator?,babycare,How + adj/adv Question,Sampled_Original
210,how long do baby showers last?,babycare,How + adj/adv Question,Sampled_Original
211,how many babies are aborted each day?,babycare,How + adj/adv Question,Sampled_Original
212,how long does baby formula last?,babycare,How + adj/adv Question,Sampled_Original
213,how big is baby at 15 weeks?,babycare,How + adj/adv Question,Sampled_Original
214,how many baby teeth fall out?,babycare,How + adj/adv Question,Sampled_Original
215,how many babies are aborted daily?,babycare,How + adj/adv Question,Sampled_Original
216,how often do breastfed babies poop?,babycare,How + adj/adv Question,Sampled_Original
217,how long after being induced is baby born?,babycare,How + adj/adv Question,Sampled_Original
218,how many weeks old is my baby?,babycare,How + adj/adv Question,Sampled_Original
219,how many weeks is my baby?,babycare,How + adj/adv Question,Sampled_Original
220,how do babies get ear infections?,babycare,How + adj/adv Question,Sampled_Original
221,how much should a 4 month old baby weigh?,babycare,How + adj/adv Question,Sampled_Original
222,how tall will my baby be?,babycare,How + adj/adv Question,Sampled_Original
223,how many kids can you babysit without license?,babycare,How + adj/adv Question,Sampled_Original
224,how old do babies start talking?,babycare,How + adj/adv Question,Sampled_Original
225,how much milk does a baby need?,babycare,How + adj/adv Question,Sampled_Original
226,how many babies are born on their due date?,babycare,How + adj/adv Question,Sampled_Original
227,how much should a 6 month baby weigh?,babycare,How + adj/adv Question,Sampled_Original
228,how many baby teeth do children lose?,babycare,How + adj/adv Question,Sampled_Original
229,how much baby food 6 month?,babycare,How + adj/adv Question,Sampled_Original
230,how much weight does a baby gain per week?,babycare,How + adj/adv Question,Sampled_Original
231,how much weight does a baby gain in the last?,babycare,How + adj/adv Question,Sampled_Original
232,how old does a baby need to be to fly?,babycare,How + adj/adv Question,Sampled_Original
233,how many diapers does a baby use?,babycare,How + adj/adv Question,Sampled_Original
234,how many bones do babies have at birth?,babycare,How + adj/adv Question,Sampled_Original
235,how long is labor for first baby?,babycare,How + adj/adv Question,Sampled_Original
236,how many weeks do you carry a baby?,babycare,How + adj/adv Question,Sampled_Original
237,how do you know how to look after a baby?,babycare,How + adj/adv Question,Sampled_Original
238,how big is my baby chart?,babycare,How + adj/adv Question,Sampled_Original
239,how many weeks is my baby calculator?,babycare,How + adj/adv Question,Sampled_Original
240,how much does baby formula cost?,babycare,How + adj/adv Question,Sampled_Original
241,how do babies get colic?,babycare,How + adj/adv Question,Sampled_Original
242,how big is baby at 21 weeks?,babycare,How + adj/adv Question,Sampled_Original
243,how many babies are born?,babycare,How + adj/adv Question,Sampled_Original
244,how old are babies when they roll over?,babycare,How + adj/adv Question,Sampled_Original
245,how old is my baby in weeks?,babycare,How + adj/adv Question,Sampled_Original
246,how many ounces should a baby eat chart?,babycare,How + adj/adv Question,Sampled_Original
247,how are babies made for kids?,babycare,How + adj/adv Question,Sampled_Original
248,how much should a 6 month old baby weigh?,babycare,How + adj/adv Question,Sampled_Original
249,how long does it take to conceive a baby?,babycare,How + adj/adv Question,Sampled_Original
250,how often are babies born?,babycare,How + adj/adv Question,Sampled_Original
251,how long does baby acne last?,babycare,How + adj/adv Question,Sampled_Original
252,how long after baby drops until labor?,babycare,How + adj/adv Question,Sampled_Original
253,how many baby bottles do i need?,babycare,How + adj/adv Question,Sampled_Original
254,how soon can you hear a baby's heartbeat?,babycare,How + adj/adv Question,Sampled_Original
255,how many weeks to determine baby gender?,babycare,How + adj/adv Question,Sampled_Original
256,how do babies get jaundice?,babycare,How + adj/adv Question,Sampled_Original
257,how big is a baby at 18 weeks?,babycare,How + adj/adv Question,Sampled_Original
258,how do babies learn language?,babycare,How + adj/adv Question,Sampled_Original
259,how much formula should my baby be having?,babycare,How + adj/adv Question,Sampled_Original
260,how does preeclampsia affect baby?,babycare,How + adj/adv Question,Sampled_Original
261,how many baby teeth?,babycare,How + adj/adv Question,Sampled_Original
262,how often should you feel your baby move?,babycare,How + adj/adv Question,Sampled_Original
263,how much weight does a baby gain in the last month?,babycare,How + adj/adv Question,Sampled_Original
264,how fast do babies grow?,babycare,How + adj/adv Question,Sampled_Original
265,how much formula to feed baby?,babycare,How + adj/adv Question,Sampled_Original
266,how old do babies start walking?,babycare,How + adj/adv Question,Sampled_Original
267,how does baby powder cause ovarian cancer?,babycare,How + adj/adv Question,Sampled_Original
268,how much formula baby needs?,babycare,How + adj/adv Question,Sampled_Original
269,how much does it cost to have a baby hospital?,babycare,How + adj/adv Question,Sampled_Original
270,how can i take care of my baby?,babycare,How + adj/adv Question,Sampled_Original
271,how much tylenol for baby?,babycare,How + adj/adv Question,Sampled_Original
272,how much baby food should a 6 month old eat?,babycare,How + adj/adv Question,Sampled_Original
273,how much does it cost to adopt a baby?,babycare,How + adj/adv Question,Sampled_Original
274,how a baby is made?,babycare,How + adj/adv Question,Sampled_Original
275,how many baby teeth do kids have?,babycare,How + adj/adv Question,Sampled_Original
276,how early can you feel baby move?,babycare,How + adj/adv Question,Sampled_Original
277,how much does it cost to have a baby in usa?,babycare,How + adj/adv Question,Sampled_Original
278,how often do babies poop?,babycare,How + adj/adv Question,Sampled_Original
279,how many diapers does a baby use in a year?,babycare,How + adj/adv Question,Sampled_Original
280,how much weight do babies gain per month?,babycare,How + adj/adv Question,Sampled_Original
281,how do humans make babies?,babycare,How + adj/adv Question,Sampled_Original
282,how much does a baby weigh at 20 weeks?,babycare,How + adj/adv Question,Sampled_Original
283,how many babies are born a day?,babycare,How + adj/adv Question,Sampled_Original
284,how big is baby at 5 weeks?,babycare,How + adj/adv Question,Sampled_Original
285,how much weight should a baby gain each week?,babycare,How + adj/adv Question,Sampled_Original
286,how long does it take to lose baby weight?,babycare,How + adj/adv Question,Sampled_Original
287,how do babies get thrush?,babycare,How + adj/adv Question,Sampled_Original
288,how big is a baby at 14 weeks?,babycare,How + adj/adv Question,Sampled_Original
289,how long is a baby considered a newborn?,babycare,How + adj/adv Question,Sampled_Original
290,how old can a baby fly?,babycare,How + adj/adv Question,Sampled_Original
291,how are babies made video?,babycare,How + adj/adv Question,Sampled_Original
292,how do babies breathe in the womb?,babycare,How + adj/adv Question,Sampled_Original
293,how long does it take to have a baby?,babycare,How + adj/adv Question,Sampled_Original
294,how are babies created?,babycare,How + adj/adv Question,Sampled_Original
295,how do babies get rsv?,babycare,How + adj/adv Question,Sampled_Original
296,how much do babies eat?,babycare,How + adj/adv Question,Sampled_Original
297,how old are babies when they crawl?,babycare,How + adj/adv Question,Sampled_Original
298,how often do you feed a newborn baby?,babycare,How + adj/adv Question,Sampled_Original
299,how big is a baby at 12 weeks?,babycare,How + adj/adv Question,Sampled_Original
300,how much does it cost to deliver a baby?,babycare,How + adj/adv Question,Sampled_Original
301,how much weight do you put on in pregnancy?,pregnancy,How + adj/adv Question,Sampled_Original
302,how can you see that you are pregnant?,pregnancy,How + adj/adv Question,Sampled_Original
303,how many times does it take to get pregnant?,pregnancy,How + adj/adv Question,Sampled_Original
304,how old is my pregnancy?,pregnancy,How + adj/adv Question,Sampled_Original
305,how soon can a pregnancy test detect?,pregnancy,How + adj/adv Question,Sampled_Original
306,how soon does a pregnancy test show positive?,pregnancy,How + adj/adv Question,Sampled_Original
307,how long does it take to get pregnant after birth control?,pregnancy,How + adj/adv Question,Sampled_Original
308,how common are false negative pregnancy test?,pregnancy,How + adj/adv Question,Sampled_Original
309,how does a woman become pregnant?,pregnancy,How + adj/adv Question,Sampled_Original
310,how effective are condoms against pregnancy?,pregnancy,How + adj/adv Question,Sampled_Original
311,how long before you can take a pregnancy test?,pregnancy,How + adj/adv Question,Sampled_Original
312,how long does a pregnancy test take to show?,pregnancy,How + adj/adv Question,Sampled_Original
313,how much should you gain during pregnancy?,pregnancy,How + adj/adv Question,Sampled_Original
314,how much can a pregnant woman lift?,pregnancy,How + adj/adv Question,Sampled_Original
315,how soon can you take a blood pregnancy test?,pregnancy,How + adj/adv Question,Sampled_Original
316,how do i know how many weeks pregnant i am?,pregnancy,How + adj/adv Question,Sampled_Original
317,how many months is a woman pregnant?,pregnancy,How + adj/adv Question,Sampled_Original
318,how do you know if you might be pregnant?,pregnancy,How + adj/adv Question,Sampled_Original
319,how many days does it take to get pregnant?,pregnancy,How + adj/adv Question,Sampled_Original
320,how do pregnancy tests work gcse biology?,pregnancy,How + adj/adv Question,Sampled_Original
321,how many weeks in a normal pregnancy?,pregnancy,How + adj/adv Question,Sampled_Original
322,how does caffeine affect pregnancy?,pregnancy,How + adj/adv Question,Sampled_Original
323,how long is a normal pregnancy?,pregnancy,How + adj/adv Question,Sampled_Original
324,how soon can i test for pregnancy?,pregnancy,How + adj/adv Question,Sampled_Original
325,how long before you know your pregnant?,pregnancy,How + adj/adv Question,Sampled_Original
326,how common are false positives pregnancy test?,pregnancy,How + adj/adv Question,Sampled_Original
327,how much water should i drink during pregnancy?,pregnancy,How + adj/adv Question,Sampled_Original
328,how many months is 18 weeks pregnant?,pregnancy,How + adj/adv Question,Sampled_Original
329,how many weeks in a pregnancy term?,pregnancy,How + adj/adv Question,Sampled_Original
330,how many days after ovulation pregnancy test?,pregnancy,How + adj/adv Question,Sampled_Original
331,how long after period to get pregnant?,pregnancy,How + adj/adv Question,Sampled_Original
332,how do you know if your pregnant early?,pregnancy,How + adj/adv Question,Sampled_Original
333,how do i know im pregnant early?,pregnancy,How + adj/adv Question,Sampled_Original
334,how many weeks pregnant can you fly?,pregnancy,How + adj/adv Question,Sampled_Original
335,how soon can a blood test detect pregnancy after conception?,pregnancy,How + adj/adv Question,Sampled_Original
336,how far am i in my pregnancy?,pregnancy,How + adj/adv Question,Sampled_Original
337,how much iron does a pregnant woman need?,pregnancy,How + adj/adv Question,Sampled_Original
338,how much caffeine can you have pregnant?,pregnancy,How + adj/adv Question,Sampled_Original
339,how early can a pregnancy test detect?,pregnancy,How + adj/adv Question,Sampled_Original
340,how soon after conception pregnancy test?,pregnancy,How + adj/adv Question,Sampled_Original
341,how do i know if im pregnant?,pregnancy,How + adj/adv Question,Sampled_Original
342,how much bleeding is normal during pregnancy?,pregnancy,How + adj/adv Question,Sampled_Original
343,how quickly can you get pregnant?,pregnancy,How + adj/adv Question,Sampled_Original
344,how does pregnancy occur?,pregnancy,How + adj/adv Question,Sampled_Original
345,how many weeks pregnancy test?,pregnancy,How + adj/adv Question,Sampled_Original
346,how early can you get pregnancy symptoms?,pregnancy,How + adj/adv Question,Sampled_Original
347,how many weeks is pregnancy in humans?,pregnancy,How + adj/adv Question,Sampled_Original
348,how long are you pregnant?,pregnancy,How + adj/adv Question,Sampled_Original
349,how much calcium does a pregnant woman need?,pregnancy,How + adj/adv Question,Sampled_Original
350,how much caffeine during pregnancy?,pregnancy,How + adj/adv Question,Sampled_Original
351,how long can an ectopic pregnancy last?,pregnancy,How + adj/adv Question,Sampled_Original
352,how soon can you get pregnant after a miscarriage?,pregnancy,How + adj/adv Question,Sampled_Original
353,how long is the 1st trimester of pregnancy?,pregnancy,How + adj/adv Question,Sampled_Original
354,how old can a woman get pregnant?,pregnancy,How + adj/adv Question,Sampled_Original
355,how many weeks in a trimester pregnancy?,pregnancy,How + adj/adv Question,Sampled_Original
356,how many months is 21 weeks pregnant?,pregnancy,How + adj/adv Question,Sampled_Original
357,how much protein should a pregnant woman eat?,pregnancy,How + adj/adv Question,Sampled_Original
358,how many calories should i eat when pregnant?,pregnancy,How + adj/adv Question,Sampled_Original
359,how long is a trimester in pregnancy?,pregnancy,How + adj/adv Question,Sampled_Original
360,how long does nausea last in pregnancy?,pregnancy,How + adj/adv Question,Sampled_Original
361,how soon can you tell pregnancy?,pregnancy,How + adj/adv Question,Sampled_Original
362,how many trimester in pregnancy?,pregnancy,How + adj/adv Question,Sampled_Original
363,how i accidentally got pregnant?,pregnancy,How + adj/adv Question,Sampled_Original
364,how many weeks are you pregnant for full term?,pregnancy,How + adj/adv Question,Sampled_Original
365,how late can you fly when pregnant?,pregnancy,How + adj/adv Question,Sampled_Original
366,how many tums can you take while pregnant?,pregnancy,How + adj/adv Question,Sampled_Original
367,how many weeks are women pregnant for?,pregnancy,How + adj/adv Question,Sampled_Original
368,how many weeks calculator pregnancy?,pregnancy,How + adj/adv Question,Sampled_Original
369,how long is a full term pregnancy?,pregnancy,How + adj/adv Question,Sampled_Original
370,how many days are you pregnant?,pregnancy,How + adj/adv Question,Sampled_Original
371,how does a surrogate pregnancy work?,pregnancy,How + adj/adv Question,Sampled_Original
372,how much weight should i gain while pregnant?,pregnancy,How + adj/adv Question,Sampled_Original
373,how much weight should a woman of normal pre-pregnancy bmi gain during the first trimester?,pregnancy,How + adj/adv Question,Sampled_Original
374,how long does it take to get a positive pregnancy test?,pregnancy,How + adj/adv Question,Sampled_Original
375,how can u get pregnant?,pregnancy,How + adj/adv Question,Sampled_Original
376,how early do you see signs of pregnancy?,pregnancy,How + adj/adv Question,Sampled_Original
377,how should pregnant women sleep?,pregnancy,How + adj/adv Question,Sampled_Original
378,how long does it take for a pregnancy test to work?,pregnancy,How + adj/adv Question,Sampled_Original
379,how many sonograms during pregnancy?,pregnancy,How + adj/adv Question,Sampled_Original
380,how far along am i pregnant calculator?,pregnancy,How + adj/adv Question,Sampled_Original
381,how many weeks pregnant am i based on due date?,pregnancy,How + adj/adv Question,Sampled_Original
382,how many weeks in first trimester pregnancy?,pregnancy,How + adj/adv Question,Sampled_Original
383,how much coffee can you drink when pregnant?,pregnancy,How + adj/adv Question,Sampled_Original
384,how does an iud prevent pregnancy?,pregnancy,How + adj/adv Question,Sampled_Original
385,how do birth control pills prevent pregnancy?,pregnancy,How + adj/adv Question,Sampled_Original
386,how does it feel to be pregnant?,pregnancy,How + adj/adv Question,Sampled_Original
387,how do you take a pregnancy test?,pregnancy,How + adj/adv Question,Sampled_Original
